days,valus,params,countrycode,SRC
36.1724,-72.8877,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.3103,-70.2588,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.3793,-68.069,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.3793,-65.443,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.5172,-62.8142,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.5172,-60.6258,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.6552,-57.997,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.7241,-55.3695,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.7241,-53.1812,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.7931,-50.9914,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.7931,-48.8031,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.8621,-47.051,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.8621,-44.8627,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
37.069,-45.7337,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
